roomsCount,price,address,tel,underground,undergroundTime,deposit,comission,prepay,total_area,living_area,kitchen_area,floor,build_year,lng,lat,description,link
1-комн,16 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Северный, ул. Дьяконова, 9к2",tel:+79587296252,Пролетарская,10 мин. на транспорте,Без залога,без комиссии,предоплата за 1 месяц,"30,1 м²","18,9 м²",6 м²,3 из 5,1972,43.874509,56.260853,"Сдаётся светлая 1-комнатная квартира с хорошим ремонтом, смежным санузлом и балконом, без депозита! Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой. Есть холодильник, телевизор, плита, пылесос, микроволновая печь и стиральная машина. Коммунальные услуги и счётчики оплачиваются отдельно. Окна выходят во двор, есть бесплатная парковка. Собственник готов заключить договор с юридическим лицом. 

В 2 минутах пешком  остановка общественного транспорта, от которой за 8 минут можно доехать до м. Пролетарская. 

Дом находится в районе с развитой инфраструктурой: в пешей доступности  школы и детские сады, продуктовые супермаркеты, аптеки, медицинские учреждения, кафе, закусочные и бары, фитнес-клубы, салоны красоты и парикмахерские. Прямо напротив  парк им. 777-летия Нижнего Новгорода.",https://nn.cian.ru/rent/flat/258061254/
1-комн,16 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Цветы, ул. Первоцветная, 8К2",tel:+79587293186,,,Без залога,комиссия 60%,предоплата за 1 месяц,46 м²,20 м²,10 м²,12 из 17,2015,44.016003,56.265062,"Один из лучших жилых комплексов города. Рядом парковая зона с тремя озерами, на территории комплекса многочисленные магазинчики, сферы различных бытовых услуг, фитнесцентр с бассейном и хамамом.

В санузле сделан отличный ремонт. Все фото к квартире реальные. Изумительный вид из окна-нет домов впереди и не будет никакой застройки.Комната полностью пустая, есть только кухонный встроенный гарнитур.

Сверх арендной платы-оплата счетчиков",https://nn.cian.ru/rent/flat/255067122/
1-комн,17 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, просп. Гагарина, 212А",tel:+79587298501,Двигатель Революции,13 мин. на транспорте,,,,"41,6 м²","16,6 м²",11 м²,7 из 14,2012,43.951207,56.232724,"Сдаётся уютная 1-комнатная квартира с лоджией и евроремонтом! Можно разбить депозит на 3 месяца равными платежами. Коммунальные платежи и счётчики оплачиваются отдельно. Квартира оснащена кухонным гарнитуром, всей необходимой мебелью и бытовой техникой. Есть плита, стиральная машина и холодильник. Интернет проведён, есть роутер. Можно вывезти часть мебели. Полы  ламинат и плитка. Окна выходят во двор. 

В 1 минуте пешком  остановка общественного транспорта, от которой за 12 минут можно доехать до м. Двигатель Революции и м. Пролетарская. Автомобилистам будет удобно выезжать на проспект Гагарина. 

Около дома есть бесплатная парковка, также есть подземный паркинг с доступом на лифте, можно арендовать машино-место. Дом расположен в новом районе с развитой инфраструктурой, в пешей доступности находятся: школа, гимназия, детский сад, продуктовые магазины, салон красоты, ТЦ Гагаринский, фитнес-клуб. Недалеко  лесной массив.",https://nn.cian.ru/rent/flat/258030290/
3-комн,20 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Володарского, ул. Обухова, 49",tel:+79587280118,Чкаловская,7 мин. пешком,Без залога,комиссия 60%,предоплата за 1 месяц,50 м²,,,1 из 5,1935,43.929935,56.312445,"Сдам 3х комнатную квартиру в центре Канавинского района на ул.Обухова.
Квартира после ремонта,упакована мебелью.и бытовой техникой.
Фотографии реальные.
Рядом метро Чкаловская,""Парк 1 мая"",жд вокзал,Центральный рынок.
Не информационное офисное агентство.
На показ выезжаю.",https://nn.cian.ru/rent/flat/208993716/
1-комн,8 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, ул. 40 лет Победы, 8",tel:+79918994951,,,Без залога,комиссия 80%,предоплата за 1 месяц,35 м²,18 м²,9 м²,5 из 9,1986,43.947892,56.225313,"Агент...Сдаю простую квартиру,Строго Людям Славянской национальности,без детей и животных и Только на длительный срок.Мебель только на кухне и холодильник,в комнате-стол,больше ничего нету и не будет.Рядом торговые центры,городской транспорт и многое другое.Комиссионные агента-80% Строго по Факту Заселения-по Закону,без Какой Либо Предоплаты.Фото абсолютно реальные-по факту то же самое.Просьба принимать взвешенное и продуманное решение,для съёма данного жилья.По цене и квартира.Пока объявление на Сайте-Квартира Свободная.",https://nn.cian.ru/rent/flat/258120199/
1-комн,16 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Верхние Печеры, ул. Богдановича, 2к1",tel:+79587280939,Горьковская,15 мин. на транспорте,Залог 8 000 ₽,комиссия 50%,предоплата за 1 месяц,42 м²,18 м²,9 м²,7 из 17,2011,44.075417,56.283864,"1-ком.квартира в новом доме Нижегородского района , квартира с современным ремонтом , хорошей мебелью и бытовой техникой. Развитая инфраструктура: Рядом магазины, аптеки, салоны обслуживания, школа, детсад, остановки общественного транспорта. Сдаётся от агентства на длительный срок для людей европейской внешности без животных и без маленьких детей. Отдельно оплачиваете только электроэнергию и водоснабжение по счётчику. Оплата комиссии агентству по факту заселения. Агент выезжает на показ.",https://nn.cian.ru/rent/flat/240906533/
3-комн,25 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Гордеевский, Московское ш., 27А",tel:+79587286134,Канавинская,5 мин. пешком,,,,65 м²,40 м²,9 м²,18 из 19,2014,43.930447,56.323627,"Впервые сдаётся просторная 3-комнатная квартира с хорошим ремонтом, раздельным санузлом и лоджией. Коммунальные услуги включены, счётчики оплачиваются отдельно. Арендная плата снижена на первые 3 месяца до 25 000 рублей, затем она вновь составит 27 000 рублей. Кухонный гарнитур можно приобрести в счёт арендной платы, в квартире есть плита. Окна выходят во двор и на улицу, около дома есть бесплатная парковка.

В 5 минутах пешком - м. Канавинская. 

Можно с домашним питомцем.

Дом находится в районе с развитой инфраструктурой: в пешей доступности  школы и детские сады, продуктовые супермаркеты, аптеки, медицинские учреждения, кафе и закусочные, отделение почты, фитнес-клубы. Рядом расположен Канавинский сквер.",https://nn.cian.ru/rent/flat/257751887/
1-комн,30 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Нижегородский, ул. Родионова, 165к6",tel:+79587299230,,,Залог 10 000 ₽,комиссия 80%,без предоплаты,50 м²,17 м²,12 м²,9 из 10,,44.067458,56.313583,"Сдается  современная,очень дорого отремонтированная квартира.
Для комфортного проживания есть все.
В кухне :кухонный гарнитур,посудомоечная машина,холодильник,духовой шкаф, кофемашина,телевизор,стол со стульями,Выделена зона кабинета.
В комнате диван-кровать Аскона и оборудованная  гардеробная комната,ЖК телевизор.
В сан узле стиральная машина и бойлер на случай отключения горячей воды.В коридоре шкаф-купе и кондиционер на всю квартиру. 
В квартире интернет, видеодомофон.
В подземном паркинге есть возможность арендовать машино-место.
Отдельно оплачиваются счетчики.
Двор без машин.Внимание!!! 
Важная информация: въехать в квартиру можно будет с 17 июня 2021 игода.

Номер объекта: #1/540925/11824",https://nn.cian.ru/rent/flat/257280409/
3-комн,30 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Печерская долина, ул. Родионова, 193к3",tel:+79587282043,,,Залог 16 000 ₽,комиссия 70%,предоплата за 1 месяц,80 м²,52 м²,12 м²,3 из 13,,44.074195,56.303107,"3 комнатная квартира с евро ремонтом в новом доме . Укомплектована мебелью и бытовой техникой. В гостиной кожаный диван и кресло. В спальне комфортная двуспальная Кровать , в третьей комнате раскладной диван. Отличное месторасположение , тихий зелёный двор. Заезжай и живи !",https://nn.cian.ru/rent/flat/252630199/
1-комн,16 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Ленгородок, просп. Ленина, 7к1",tel:+79587280118,Ленинская,3 мин. пешком,Без залога,комиссия 50%,предоплата за 1 месяц,32 м²,,,4 из 5,1967,43.93608,56.298657,"Сдам однокомнатную квартиру в центре Ленинского района на пр.Ленина.
Квартира в хорошем состоянии,с мебелью и техникой.
Отлична транспортная,развязка,метро Ленинская в 30 метрах от дома.
Фото реальные.
Оплата по факту заселения и передачи ключей.
На показ выезжаю.",https://nn.cian.ru/rent/flat/258019253/
1-комн,16 500 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Советский, ул. Романтиков, 15",tel:+79587280118,,,Залог 8 500 ₽,комиссия 60%,предоплата за 1 месяц,33 м²,,9 м²,14 из 18,,44.050282,56.274484,"Впервые!
Все новое!
Никто не жил!
Сдаётся уютная однокомнатная квартира в экологически чистом районе города - ЖК ""Новая Кузнечиха"". Квартира с хорошим ремонтом.Фото реальные. В квартире вся НОВАЯ необходимая мебель и техника: телевизор, стиральная машина, холодильник, плита. Ванная в плитке. На длительный срок, без животных. В доме 2 лифта, парковочные места в свободном доступе, дом под видеонаблюдением. Аренда+счетчики. 
Оплата при получении ключей.
На показ выезжаю.",https://nn.cian.ru/rent/flat/257895538/
3-комн,39 900 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Тобольские казармы, Краснозвездная ул., 31",tel:+79587287677,Горьковская,15 мин. на транспорте,Без залога,без комиссии,предоплата за 1 месяц,"88,5 м²",51 м²,12 м²,3 из 18,2013,43.9882,56.286767,"Сдаётся большая 3-комнатная квартира с хорошим ремонтом, совмещённым санузлом и лоджией в ЖК Зенит, без депозита! Коммунальные услуги и счётчики включены в арендную плату. Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой. Есть холодильник, плита и стиральная машина. Окна выходят во двор, есть бесплатная парковка.

До м. Горьковская  15 минут на общественном транспорте.

Можно с рыбками.

Дом находится в районе с развитой инфраструктурой: в пешей доступности  школы и детские сады, кафе, закусочные, аптеки и медицинские учреждения, продуктовые супермаркеты, гипермаркет Metro Cash&Carry, фитнес-клуты, ТЦ Океанис с аквапарком. Недалеко заповедник урочище Слуда.",https://nn.cian.ru/rent/flat/258055108/
2-комн,38 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Подновье, ул. Родионова, 192к4",tel:+79587282043,,,Залог 30 000 ₽,комиссия 80%,предоплата за 1 месяц,54 м²,42 м²,10 м²,6 из 22,2014,44.080403,56.307651,Отличная квартира с евроремонтом в престижном доме бизнес класса . ЖК Мегаполис. Со своей закрытой территорией . Квартира укомплектована всей бытовой техникой и мебелью .  С 01.04.,https://nn.cian.ru/rent/flat/238767848/
1-комн,50 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, ул. Максима Горького, 70",tel:+79587293186,Московская,4 мин. на транспорте,Залог 25 000 ₽,комиссия 60%,предоплата за 1 месяц,51 м²,18 м²,24 м²,3 из 9,2020,43.986277,56.312889,"Центр Нижнего Новгорода.ЖК ""Симфония Нижнего"".Вашему вниманию представлена квартира с дезайнерским ремонтом, выполненном в пастельных серых и белых тонах. Ремонт только что закончен. Можно смотреть.

 Планировка:кухня-гостиная и спальня, просторный санузел, гардеробные-в прихожей и спальне.

При необходимости смогу скинуть планировку и больше ото

Квартира оснащена бытовой техникой, из которой есть встроенный холодильник, посудомоечная, стиральная машины, посуда, постельные принадлежности, вообщем все мелочи, делающие жизнь комфортной. 

Звоните, пишите, показ организуем в удобное Вам время Парковка под домом. Сдается только на длительный срок
Если вы видите объявление, квартира не сдана",https://nn.cian.ru/rent/flat/256946900/
3-комн,43 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Сахарный дол, ул. Братьев Игнатовых, 1к2",tel:+79587298184,,,Залог 43 000 ₽,без комиссии,предоплата за 1 месяц,105 м²,,,9 из 10,2010,43.994614,56.279012,"Отличная квартира с дизайнерским ремонтом. Подходит для семьи с детьми. 3 изолированных комнаты. Кондиционеры во всех комнатах. Тёплые полы в санузле, ванной комнате и прихожей. Квартира полностью меблирована. Вся техника. На кроватях современные американские матрасы. 
Рядом щелоковский хутор, парк Швейцария. От центра 10 мин. на машине. Рядом супермаркет Метро, школа.",https://nn.cian.ru/rent/flat/255461407/
1-комн,15 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Верхние Печеры, 1-й микрорайон, ул. Композитора Касьянова, 5",tel:+79587290636,,,Залог 1 000 ₽,комиссия 60%,предоплата за 1 месяц,42 м²,18 м²,9 м²,5 из 10,2005,44.07071,56.289255,"Квартира недалеко от Т,Ц, ""Индиго"",в В.Печерах.Квартира в хорошем состоянии,помимо мебели и бытовой есть даже сауна.Для сем.пары,одиноких,можно командировочного.Связь с агентом по ТЛФ,указанному в обьявлении.",https://nn.cian.ru/rent/flat/257927534/
1-комн,21 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, Большая Покровская ул., 49",tel:+79918998858,Горьковская,5 мин. пешком,Залог 10 500 ₽,без комиссии,предоплата за 1 месяц,32 м²,17 м²,7 м²,2 из 3,1863,43.994883,56.317507,"ОТ ХОЗЯИНА ! БЕЗ КОМИССИИ ! 1-комнатная квартира на Большой Покровской, в 3-5 минутах пешком ст. метро ""Горьковская"" и пл. Максима Горького. 2/3 кирп. В ЦЕНУ ВСЕ ВКЛЮЧЕНО: КВАРТПЛАТА, ЭЛЕКТРИЧЕСТВО, ГАЗ И ВОДА (все 3 без счетчиков, поэтому стандартные тарифы), ФОНД КАПРЕМОНТА, ВЫВОЗ МУСОРА !!!
Телевизор, холодильник, стиральная машина, СВЧ, DVD. Из мебели - два удобных раскладывающихся дивана (полутораспальный и двуспальный), другая необходимая мебель, кухонный гарнитур. Wi-Fi, цифровое телевидение.
Лоджия с видом на Большую Покровскую (можно курить). В шаговой доступности - транспортные узлы, основные достопримечательности, административные и офисные учреждения, учебные заведения. 
 Необходим залог (возвратный денежный депозит) в размере 10500 руб. Для 1-2 взрослых человек (славян). Можно на непродолжительный срок (от 2 недель) для серьезного командировочного человека.",https://nn.cian.ru/rent/flat/257369102/
2-комн,19 500 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Нагорный, ул. Ванеева, 86",tel:+79918994853,Горьковская,6 мин. на транспорте,Залог 10 000 ₽,без комиссии,предоплата за 1 месяц,54 м²,,6 м²,5 из 5,1965,44.034247,56.298407,"Сдается 2-х комнатная квартира от Хозяина Без комиссии, пл. Советская (Ванеева, 86). Желательно семейной паре, без животных. Оплата 19500 рублей + счётчики свет и холодная вода. Залог 10 000 возратный. Комнаты изолированные.  Балкон застеклен. В зале телевизор, новый диван, стенка. В детской из мебели кровать, шкаф для вещей, письменной стол. Так же в квартире есть стиральная машина, микроволновка, электрическая духовка, посудомойка. В комнатах и в прихожей сделан хороший  ремонт, в  ванной и на кухне без ремонта. Отличная транспортная развязка, в двух минутах от дома детский садик, школа 44, школа 46 (10 мин), ТЦ Жар-птица, фитнес-клуб Физкульт с бассейном",https://nn.cian.ru/rent/flat/256833357/
1-комн,19 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, просп. Гагарина, 101к5",tel:+79040690117,,,Залог 12 000 ₽,комиссия 85%,предоплата за 1 месяц,43 м²,20 м²,12 м²,6 из 14,,43.95366,56.236466,"Сдаю 1к квартиру в новом доме в ЖК  Гагаринские Высоты . Дизайнерский ремонт , есть вся необходимая мебель  и  бытовая техника , всё новое . Хорошо развитая инфраструктура  -- магазины , торговые центры .  Есть лотжия . Реальные фото реальной квартиры . Оперативный выезд на показ в любое удобное время . Агент берёт комиссию тоько после заключения договора с собственником квартиры .",https://nn.cian.ru/rent/flat/257584478/
1-комн,14 500 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Советский, ул. Романтиков, 5",tel:+79587294960,,,Залог 8 000 ₽,комиссия 60%,предоплата за 1 месяц,36 м²,18 м²,11 м²,5 из 10,2019,44.049321,56.275304,"Спешите цена снижена до 04 июня !!!Агентство, есть ключи,сдается впервые, все новое , есть залог. Все есть для комфортного проживания, спальное место диван , 2 кресла, стиральная машина, кухонный гарнитур , микроволновая печь. Оплата по счетчикам оплачивается арендатором . Гарантирую юридическую чистоту сделки, договор подписывает собственник",https://nn.cian.ru/rent/flat/255953970/
1-комн,9 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, просп. Ленина, 30Б",tel:+79587282327,Заречная,9 мин. пешком,Без залога,комиссия 67%,предоплата за 1 месяц,35 м²,"17,1 м²","8,6 м²",6 из 8,2003,43.934984,56.287212,"Сдается просторная, теплая квартира, в панельном доме, в благоустроенном мкр-не Молитовский,Ленинский  район с удобным расположением. Комната пустая, без мебели, есть холодильник.Мебель только на кухне и в комнате шкаф.Санузел в панелях, в комнате в том году был сделан косметический ремонт.Окна деревянные с троиным остеклением.Есть лоджия. Удобное месторасположение, можно уехать в любую часть города недалеко от улиц: Заречный бульвар, Академика Баха, Даргомыжского. В шаговой доступности: аптеки, Почта, Сбербанк,магазины Spar, Магнит, Пятерочка, школа и д/сад. Выезжаю с вами на просмотр.Арендная плата составляет 9000+ все коммунальные платежи 2500 +счетчики. Собственник рассмотрит только славян, можно с не маленькими детьми начиная с 10-12 лет. Комиссия 6000, агент выезжаю с вами на показ.

Реальный вариант,фото реальной квартиры.",https://nn.cian.ru/rent/flat/226504598/
