rooms,price,price_on_m,first_pay,total_area,living_area,kitchen_area,deposit,comission,prepay,und,und_time,und_type,und_dist,floor,floor_cnt,build_year,lng,lat,link,tel,description
1,16000,347.83,25600.0,46.0,20.0,10.0,0.0,60.0,1.0,,,,,12,17,2015.0,44.016003000000005,56.265062,https://nn.cian.ru/rent/flat/255067122/,tel:+79587293186,"Один из лучших жилых комплексов города. Рядом парковая зона с тремя озерами, на территории комплекса многочисленные магазинчики, сферы различных бытовых услуг, фитнесцентр с бассейном и хамамом.

В санузле сделан отличный ремонт. Все фото к квартире реальные. Изумительный вид из окна-нет домов впереди и не будет никакой застройки.Комната полностью пустая, есть только кухонный встроенный гарнитур.

Сверх арендной платы-оплата счетчиков"
1,17000,408.65,17000.0,41.6,16.6,11.0,0.0,0.0,1.0,Двигатель Революции,13.0,на транспорте,9100.0,7,14,2012.0,43.951207000000004,56.232724,https://nn.cian.ru/rent/flat/258030290/,tel:+79587298501,"Сдаётся уютная 1-комнатная квартира с лоджией и евроремонтом! Можно разбить депозит на 3 месяца равными платежами. Коммунальные платежи и счётчики оплачиваются отдельно. Квартира оснащена кухонным гарнитуром, всей необходимой мебелью и бытовой техникой. Есть плита, стиральная машина и холодильник. Интернет проведён, есть роутер. Можно вывезти часть мебели. Полы  ламинат и плитка. Окна выходят во двор. 

В 1 минуте пешком  остановка общественного транспорта, от которой за 12 минут можно доехать до м. Двигатель Революции и м. Пролетарская. Автомобилистам будет удобно выезжать на проспект Гагарина. 

Около дома есть бесплатная парковка, также есть подземный паркинг с доступом на лифте, можно арендовать машино-место. Дом расположен в новом районе с развитой инфраструктурой, в пешей доступности находятся: школа, гимназия, детский сад, продуктовые магазины, салон красоты, ТЦ Гагаринский, фитнес-клуб. Недалеко  лесной массив."
3,20000,400.0,32000.0,50.0,26.2,9.2,0.0,60.0,1.0,Чкаловская,7.0,пешком,630.0,1,5,1935.0,43.929935,56.312445,https://nn.cian.ru/rent/flat/208993716/,tel:+79587280118,"Сдам 3х комнатную квартиру в центре Канавинского района на ул.Обухова.
Квартира после ремонта,упакована мебелью.и бытовой техникой.
Фотографии реальные.
Рядом метро Чкаловская,""Парк 1 мая"",жд вокзал,Центральный рынок.
Не информационное офисное агентство.
На показ выезжаю."
1,8000,228.57,14400.0,35.0,18.0,9.0,0.0,80.0,1.0,,,,,5,9,1986.0,43.947891999999996,56.225313,https://nn.cian.ru/rent/flat/258120199/,tel:+79918994951,"Агент...Сдаю простую квартиру,Строго Людям Славянской национальности,без детей и животных и Только на длительный срок.Мебель только на кухне и холодильник,в комнате-стол,больше ничего нету и не будет.Рядом торговые центры,городской транспорт и многое другое.Комиссионные агента-80% Строго по Факту Заселения-по Закону,без Какой Либо Предоплаты.Фото абсолютно реальные-по факту то же самое.Просьба принимать взвешенное и продуманное решение,для съёма данного жилья.По цене и квартира.Пока объявление на Сайте-Квартира Свободная."
1,16000,380.95,32000.0,42.0,18.0,9.0,8000.0,50.0,1.0,Горьковская,15.0,на транспорте,10500.0,7,17,2011.0,44.075417,56.283864,https://nn.cian.ru/rent/flat/240906533/,tel:+79587280939,"1-ком.квартира в новом доме Нижегородского района , квартира с современным ремонтом , хорошей мебелью и бытовой техникой. Развитая инфраструктура: Рядом магазины, аптеки, салоны обслуживания, школа, детсад, остановки общественного транспорта. Сдаётся от агентства на длительный срок для людей европейской внешности без животных и без маленьких детей. Отдельно оплачиваете только электроэнергию и водоснабжение по счётчику. Оплата комиссии агентству по факту заселения. Агент выезжает на показ."
3,25000,384.62,25000.0,65.0,40.0,9.0,0.0,0.0,1.0,Канавинская,5.0,пешком,450.0,18,19,2014.0,43.930446999999994,56.323627,https://nn.cian.ru/rent/flat/257751887/,tel:+79587286134,"Впервые сдаётся просторная 3-комнатная квартира с хорошим ремонтом, раздельным санузлом и лоджией. Коммунальные услуги включены, счётчики оплачиваются отдельно. Арендная плата снижена на первые 3 месяца до 25 000 рублей, затем она вновь составит 27 000 рублей. Кухонный гарнитур можно приобрести в счёт арендной платы, в квартире есть плита. Окна выходят во двор и на улицу, около дома есть бесплатная парковка.

В 5 минутах пешком - м. Канавинская. 

Можно с домашним питомцем.

Дом находится в районе с развитой инфраструктурой: в пешей доступности  школы и детские сады, продуктовые супермаркеты, аптеки, медицинские учреждения, кафе и закусочные, отделение почты, фитнес-клубы. Рядом расположен Канавинский сквер."
1,30000,600.0,34000.0,50.0,17.0,12.0,10000.0,80.0,0.0,,,,,9,10,,44.067458,56.313582999999994,https://nn.cian.ru/rent/flat/257280409/,tel:+79587299230,"Сдается  современная,очень дорого отремонтированная квартира.
Для комфортного проживания есть все.
В кухне :кухонный гарнитур,посудомоечная машина,холодильник,духовой шкаф, кофемашина,телевизор,стол со стульями,Выделена зона кабинета.
В комнате диван-кровать Аскона и оборудованная  гардеробная комната,ЖК телевизор.
В сан узле стиральная машина и бойлер на случай отключения горячей воды.В коридоре шкаф-купе и кондиционер на всю квартиру. 
В квартире интернет, видеодомофон.
В подземном паркинге есть возможность арендовать машино-место.
Отдельно оплачиваются счетчики.
Двор без машин.Внимание!!! 
Важная информация: въехать в квартиру можно будет с 17 июня 2021 игода.

Номер объекта: #1/540925/11824"
3,30000,375.0,67000.0,80.0,52.0,12.0,16000.0,70.0,1.0,,,,,3,13,,44.074195,56.303107,https://nn.cian.ru/rent/flat/252630199/,tel:+79587282043,"3 комнатная квартира с евро ремонтом в новом доме . Укомплектована мебелью и бытовой техникой. В гостиной кожаный диван и кресло. В спальне комфортная двуспальная Кровать , в третьей комнате раскладной диван. Отличное месторасположение , тихий зелёный двор. Заезжай и живи !"
1,16000,500.0,24000.0,32.0,16.8,5.9,0.0,50.0,1.0,Ленинская,3.0,пешком,270.0,4,5,1967.0,43.93608,56.29865699999999,https://nn.cian.ru/rent/flat/258019253/,tel:+79587280118,"Сдам однокомнатную квартиру в центре Ленинского района на пр.Ленина.
Квартира в хорошем состоянии,с мебелью и техникой.
Отлична транспортная,развязка,метро Ленинская в 30 метрах от дома.
Фото реальные.
Оплата по факту заселения и передачи ключей.
На показ выезжаю."
1,16500,500.0,34900.0,33.0,17.3,9.0,8500.0,60.0,1.0,,,,,14,18,,44.050282,56.274483999999994,https://nn.cian.ru/rent/flat/257895538/,tel:+79587280118,"Впервые!
Все новое!
Никто не жил!
Сдаётся уютная однокомнатная квартира в экологически чистом районе города - ЖК ""Новая Кузнечиха"". Квартира с хорошим ремонтом.Фото реальные. В квартире вся НОВАЯ необходимая мебель и техника: телевизор, стиральная машина, холодильник, плита. Ванная в плитке. На длительный срок, без животных. В доме 2 лифта, парковочные места в свободном доступе, дом под видеонаблюдением. Аренда+счетчики. 
Оплата при получении ключей.
На показ выезжаю."
3,39900,450.85,39900.0,88.5,51.0,12.0,0.0,0.0,1.0,Горьковская,15.0,на транспорте,10500.0,3,18,2013.0,43.9882,56.286767000000005,https://nn.cian.ru/rent/flat/258055108/,tel:+79587287677,"Сдаётся большая 3-комнатная квартира с хорошим ремонтом, совмещённым санузлом и лоджией в ЖК Зенит, без депозита! Коммунальные услуги и счётчики включены в арендную плату. Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой. Есть холодильник, плита и стиральная машина. Окна выходят во двор, есть бесплатная парковка.

До м. Горьковская  15 минут на общественном транспорте.

Можно с рыбками.

Дом находится в районе с развитой инфраструктурой: в пешей доступности  школы и детские сады, кафе, закусочные, аптеки и медицинские учреждения, продуктовые супермаркеты, гипермаркет Metro Cash&Carry, фитнес-клуты, ТЦ Океанис с аквапарком. Недалеко заповедник урочище Слуда."
2,38000,703.7,98400.0,54.0,42.0,10.0,30000.0,80.0,1.0,,,,,6,22,2014.0,44.080403000000004,56.307651,https://nn.cian.ru/rent/flat/238767848/,tel:+79587282043,Отличная квартира с евроремонтом в престижном доме бизнес класса . ЖК Мегаполис. Со своей закрытой территорией . Квартира укомплектована всей бытовой техникой и мебелью .  С 01.04.
1,50000,980.39,105000.0,51.0,18.0,24.0,25000.0,60.0,1.0,Московская,4.0,на транспорте,2800.0,3,9,2020.0,43.986277,56.312889,https://nn.cian.ru/rent/flat/256946900/,tel:+79587293186,"Центр Нижнего Новгорода.ЖК ""Симфония Нижнего"".Вашему вниманию представлена квартира с дезайнерским ремонтом, выполненном в пастельных серых и белых тонах. Ремонт только что закончен. Можно смотреть.

 Планировка:кухня-гостиная и спальня, просторный санузел, гардеробные-в прихожей и спальне.

При необходимости смогу скинуть планировку и больше ото

Квартира оснащена бытовой техникой, из которой есть встроенный холодильник, посудомоечная, стиральная машины, посуда, постельные принадлежности, вообщем все мелочи, делающие жизнь комфортной. 

Звоните, пишите, показ организуем в удобное Вам время Парковка под домом. Сдается только на длительный срок
Если вы видите объявление, квартира не сдана"
3,43000,409.52,86000.0,105.0,55.0,19.3,43000.0,0.0,1.0,,,,,9,10,2010.0,43.994614,56.279012,https://nn.cian.ru/rent/flat/255461407/,tel:+79587298184,"Отличная квартира с дизайнерским ремонтом. Подходит для семьи с детьми. 3 изолированных комнаты. Кондиционеры во всех комнатах. Тёплые полы в санузле, ванной комнате и прихожей. Квартира полностью меблирована. Вся техника. На кроватях современные американские матрасы. 
Рядом щелоковский хутор, парк Швейцария. От центра 10 мин. на машине. Рядом супермаркет Метро, школа."
1,15000,357.14,25000.0,42.0,18.0,9.0,1000.0,60.0,1.0,,,,,5,10,2005.0,44.07071,56.289255000000004,https://nn.cian.ru/rent/flat/257927534/,tel:+79587290636,"Квартира недалеко от Т,Ц, ""Индиго"",в В.Печерах.Квартира в хорошем состоянии,помимо мебели и бытовой есть даже сауна.Для сем.пары,одиноких,можно командировочного.Связь с агентом по ТЛФ,указанному в обьявлении."
1,21000,656.25,31500.0,32.0,17.0,7.0,10500.0,0.0,1.0,Горьковская,5.0,пешком,450.0,2,3,1863.0,43.994883,56.31750699999999,https://nn.cian.ru/rent/flat/257369102/,tel:+79918998858,"ОТ ХОЗЯИНА ! БЕЗ КОМИССИИ ! 1-комнатная квартира на Большой Покровской, в 3-5 минутах пешком ст. метро ""Горьковская"" и пл. Максима Горького. 2/3 кирп. В ЦЕНУ ВСЕ ВКЛЮЧЕНО: КВАРТПЛАТА, ЭЛЕКТРИЧЕСТВО, ГАЗ И ВОДА (все 3 без счетчиков, поэтому стандартные тарифы), ФОНД КАПРЕМОНТА, ВЫВОЗ МУСОРА !!!
Телевизор, холодильник, стиральная машина, СВЧ, DVD. Из мебели - два удобных раскладывающихся дивана (полутораспальный и двуспальный), другая необходимая мебель, кухонный гарнитур. Wi-Fi, цифровое телевидение.
Лоджия с видом на Большую Покровскую (можно курить). В шаговой доступности - транспортные узлы, основные достопримечательности, административные и офисные учреждения, учебные заведения. 
 Необходим залог (возвратный денежный депозит) в размере 10500 руб. Для 1-2 взрослых человек (славян). Можно на непродолжительный срок (от 2 недель) для серьезного командировочного человека."
2,19500,361.11,29500.0,54.0,28.3,6.0,10000.0,0.0,1.0,Горьковская,6.0,на транспорте,4200.0,5,5,1965.0,44.034247,56.298407,https://nn.cian.ru/rent/flat/256833357/,tel:+79918994853,"Сдается 2-х комнатная квартира от Хозяина Без комиссии, пл. Советская (Ванеева, 86). Желательно семейной паре, без животных. Оплата 19500 рублей + счётчики свет и холодная вода. Залог 10 000 возратный. Комнаты изолированные.  Балкон застеклен. В зале телевизор, новый диван, стенка. В детской из мебели кровать, шкаф для вещей, письменной стол. Так же в квартире есть стиральная машина, микроволновка, электрическая духовка, посудомойка. В комнатах и в прихожей сделан хороший  ремонт, в  ванной и на кухне без ремонта. Отличная транспортная развязка, в двух минутах от дома детский садик, школа 44, школа 46 (10 мин), ТЦ Жар-птица, фитнес-клуб Физкульт с бассейном"
1,19000,441.86,47150.0,43.0,20.0,12.0,12000.0,85.0,1.0,,,,,6,14,,43.95366,56.236466,https://nn.cian.ru/rent/flat/257584478/,tel:+79040690117,"Сдаю 1к квартиру в новом доме в ЖК  Гагаринские Высоты . Дизайнерский ремонт , есть вся необходимая мебель  и  бытовая техника , всё новое . Хорошо развитая инфраструктура  -- магазины , торговые центры .  Есть лотжия . Реальные фото реальной квартиры . Оперативный выезд на показ в любое удобное время . Агент берёт комиссию тоько после заключения договора с собственником квартиры ."
1,14500,402.78,31200.0,36.0,18.0,11.0,8000.0,60.0,1.0,,,,,5,10,2019.0,44.049321,56.275304000000006,https://nn.cian.ru/rent/flat/255953970/,tel:+79587294960,"Спешите цена снижена до 04 июня !!!Агентство, есть ключи,сдается впервые, все новое , есть залог. Все есть для комфортного проживания, спальное место диван , 2 кресла, стиральная машина, кухонный гарнитур , микроволновая печь. Оплата по счетчикам оплачивается арендатором . Гарантирую юридическую чистоту сделки, договор подписывает собственник"
1,9000,257.14,15030.0,35.0,17.1,8.6,0.0,67.0,1.0,Заречная,9.0,пешком,810.0,6,8,2003.0,43.934984,56.287212,https://nn.cian.ru/rent/flat/226504598/,tel:+79587282327,"Сдается просторная, теплая квартира, в панельном доме, в благоустроенном мкр-не Молитовский,Ленинский  район с удобным расположением. Комната пустая, без мебели, есть холодильник.Мебель только на кухне и в комнате шкаф.Санузел в панелях, в комнате в том году был сделан косметический ремонт.Окна деревянные с троиным остеклением.Есть лоджия. Удобное месторасположение, можно уехать в любую часть города недалеко от улиц: Заречный бульвар, Академика Баха, Даргомыжского. В шаговой доступности: аптеки, Почта, Сбербанк,магазины Spar, Магнит, Пятерочка, школа и д/сад. Выезжаю с вами на просмотр.Арендная плата составляет 9000+ все коммунальные платежи 2500 +счетчики. Собственник рассмотрит только славян, можно с не маленькими детьми начиная с 10-12 лет. Комиссия 6000, агент выезжаю с вами на показ.

Реальный вариант,фото реальной квартиры."
1,13000,382.35,22100.0,34.0,17.0,9.0,0.0,70.0,1.0,Парк культуры,25.0,пешком,2250.0,7,9,1981.0,43.845591999999996,56.255492000000004,https://nn.cian.ru/rent/flat/257145187/,tel:+79587288376,"Сдаю уютную 1 комнатную квартиру ,в отличном состоянии,после косметического ремонта с необходимой мебелью и техникой,на очень длительный срок, для порядочных людей! 

 Спальное место по желанию. Так же есть возможность убрать мебель (шкаф,стол,кресло).
 
 Отличное месторасположение! Рядом с домом детсады,школы,детские площадки,поликлиники(детская-взрослая),много магазинов,рынок на Плотникова,ТЦ,стадион ручных игр, школа искусств,  отличная транспортная развязка: трамвай - троллейбус,автобус,рядом транспортное кольцо - всё это в шаговой доступности!

 Самое важное, адекватный собственник!

Фото квартиры соответствуют действительности!

 Агент. Выезжаю вместе с Вами на просмотр варианта БЕСПЛАТНО!
 Оплата услуг агента после подписания договора найма с собственником! 
  Торга по комиссии нет!"
1,13999,368.39,20998.5,38.0,11.0,18.4,0.0,50.0,1.0,,,,,3,17,,43.806102,56.364844999999995,https://nn.cian.ru/rent/flat/258028354/,tel:+79587293972,"Сдам 1-комн. квартиру на длительный в новом доме ЖК Флагман. 
Квартира сдается впервые!Никто не жил. Дом сдан в эксплуатацию в апреле 2021 года.
В квартире новый ремонт от застройщика, вместе с установленной кухней, плитой, сантехникой и ванной.
Санузел совмещенный в плитке.
Имеется своя придомовая территория с детской площадкой и зелеными насаждениями только для жителей дома.
Рядом с домом футбольное поле, хоккейная площадка и беговая дорожка. 
Ухоженный, большой двор, удобная транспортная развязка, все в шаговой доступности. 
Мебели в квартире нет, на кухне есть гарнитур и плита, люстры, гардины
Все фотографии соответсвуют действительному состоянию квартиры. 
Рядом тц Корабли,Физкульт, близко школа, детский сад, отделения почты и банка.
В ближайшем будущем планируется достройка ФОКа. 
Благоустроенный микрорайон, остановка общественного транспорта примерно в 10 мин. ходьбы от дома. Стоимость 14000+ счетчики на воду и электричество."
1,15000,394.74,22500.0,38.0,18.0,9.0,0.0,50.0,1.0,,,,,4,11,2000.0,43.980456,56.259158,https://nn.cian.ru/rent/flat/159662910/,tel:+79587280939,"Новый дом, современный ремонт, угловой диван, шкафы, кухонный гарнитур, телевизор, стиральная машина автомат, холодильник. Порядочные, респектабельные соседи, Дом расположен во дворе.  Развитая инфраструктура: детсады, школа, магазины. остановки общественного транспорта всё рядом. Отдельно оплачиваете только электроэнергию. водоснабжение, газ по счётчику. Сдаём на длительный срок от агентства для русских без животных  и без маленьких детей. Оплата комиссии агентству по факту заселения. Агент выезжает на показ."
2,14000,325.58,21000.0,43.0,30.0,6.5,0.0,50.0,1.0,Горьковская,15.0,на транспорте,10500.0,3,5,1970.0,44.052295,56.290914,https://nn.cian.ru/rent/flat/257058227/,tel:+79587280939,"2-х ком.квартира в Советском районе , квартира укомплектованная мебелью и бытовой техникой. Развитая инфраструктура: Рядом магазины, аптеки, салоны обслуживания, школа, детсад, остановки общественного транспорта. Сдаётся от агентства на длительный срок для РУССКОЙ СЕМЬИ можно с кошкой. Отдельно оплачиваете только электроэнергию, газ и воду по счётчику. Оплата комиссии агентству по факту заселения. Агент выезжает на показ."
1,12000,363.64,18000.0,33.0,18.0,6.0,0.0,50.0,1.0,Парк культуры,11.0,пешком,990.0,5,5,1968.0,43.845448,56.245785,https://nn.cian.ru/rent/flat/224050864/,tel:+79587294540,"квартира после ремонта в отличном состоянии, пластиковые окна, санузел - современный кафель, новая мебель, новая сантехника, холодильник, стиральная машина, в шаговой доступности м. Парк Культуры, развитая инфраструктура, сдается на длительный срок, строго без животных и маленьких детей"
1,10000,312.5,21000.0,32.0,18.0,6.0,5000.0,60.0,1.0,Буревестник,6.0,на транспорте,4200.0,2,5,1959.0,43.853559999999995,56.333549,https://nn.cian.ru/rent/flat/258075317/,tel:+79587293972,"Стоимость аренды 10000 руб. плюс квитанция ЖКХ (3300-3500) включая счетчики.
Сдам на длительный срок 1-к квартиру по адресу: Московский район - ул.Ярошенко, рядом Сормовский парк. Имеется вся необходимая для проживания мебель и бытовая техника.
Все фотографии реальные и полностью соответствуют действительному состоянию квартиры. Через дорогу Сормовский парк, зоопарк Лимпопо, рядом два торговых центра, остановки общественного транспорта (трамвай, автобус). За сохранность имущества доверенного имущества предусмотрен страховой депозит в размере - 5000 руб. возможно внести в рассрочку на 2 месяца. Возвращается в полном размере нанимателю, после передачи квартиры собственнику, в случае отсутствия порчи, либо пропажи имущества."
